107;Gigabyte GeForce GT1030 OC 2Gb;1363418437;2018-10-21;14:23:00;//14.img.avito.st/640x480/4890346214.jpg,//17.img.avito.st/640x480/4890346217.jpg,//79.img.avito.st/640x480/4890346279.jpg,//80.img.avito.st/640x480/4890346280.jpg,;Москва,м.Сходненская;4 300;"
Причина продажи: поменял на 1050ti, нужна была большая производительность в играх.Из плюсов, с учетом бюджетности, стоит отметить, что на низко-средних настройках тянет современные игры, работает почти бесшумно. ";videokarty;
108;Видеокарта N vidia GeForce GTX 750 Ti;1612098697;2018-10-21;14:19:00;//31.img.avito.st/640x480/4890266931.jpg,//23.img.avito.st/640x480/4890266923.jpg,//30.img.avito.st/640x480/4890266930.jpg,;Москва,м.Охотныйряд;3 000;"
Новая ";videokarty;
109;GeForce GTX 1080 Ti Inno3D iChill. Москва;1591625540;2018-10-21;15:19:00;//68.img.avito.st/640x480/4878338568.jpg,//55.img.avito.st/640x480/4878453755.jpg,//03.img.avito.st/640x480/4878453803.jpg,;Москва,м.Измайлово;27 500;"
GeForce GTX 1080 Ti INNO3D iChillКарты из личного ЦОДа. Покупались в Китае, менее полугода в майнинге.  Состояние отличное. Коробки и гарантия 2 года от производителя. От 30 шт - 26 000?WhatsApp / Telegram ";videokarty;
110;Radeon RX480 8gb;1472205945;2018-10-21;14:18:00;//98.img.avito.st/640x480/4440505998.jpg,;Москва,м.Бабушкинская;12 000;"
Все работает, любые проверкиобмен предлагайте iphone и тд ";videokarty;
111;Видеокарта Gigabyte;1307491568;2018-10-21;14:06:00;//02.img.avito.st/640x480/4791036702.jpg,//05.img.avito.st/640x480/4791036705.jpg,;Москва,м.Бунинскаяаллея;4 000;"
GV-R685OC-1GD ";videokarty;
112;Видеокарта Nvidia gtx660 2gb;1553663930;2018-10-21;13:52:00;//02.img.avito.st/640x480/4877203402.jpg,//03.img.avito.st/640x480/4877203403.jpg,//40.img.avito.st/640x480/4877231340.jpg,;Москва,м.Павелецкая;4 500;"
Nvidia gtx 660 2048Mb gddr5 от palit. Шина 192 бита,частота ГПУ 980 МГц, частота видеопамяти 6008 МГц. Есть поддержка SLI. Есть все необходимые порты: hdmi , display port, DVI I, DVI D. Карата не разу не разбиралась (есть пломба). По всем вопросам звоните или пишите. торг уместен. ";videokarty;
113;Видеокарта quadro 4000 nvidia для рендеринга и игр;1048252742;2018-10-21;14:27:00;//14.img.avito.st/640x480/4890378414.jpg,//19.img.avito.st/640x480/4890378419.jpg,//20.img.avito.st/640x480/4890378420.jpg,//18.img.avito.st/640x480/4890378418.jpg,;Москва,м.УлицаакадемикаЯнгеля;11 500;"
Видеокарта quadro 4000 nvidia для рендеринга и игр. Цена без торга ";videokarty;
114;Видеокарта;968515404;2018-10-21;14:18:00;//83.img.avito.st/640x480/4740166183.jpg,;Москва,м.ВДНХ;8 500;"
Видеокарта 1060 3гб в отличном состоянии, пломбы на месте, все кулера работают без люфта, карте 13 месяцев, продается по причине перехода на более топовую модель, чека и коробки не сохранилось, любые проверки есть. ";videokarty;
115;Видеокарта Palit GTX1070Ti 8gb гарантия;1261521303;2018-10-21;14:18:00;//19.img.avito.st/640x480/4748013819.jpg,//61.img.avito.st/640x480/4748013861.jpg,;Москва,м.Медведково;22 000;"
Видеокарта Palit GTX1070Ti 8gb стоит с игровом компьютере дома, работает идеально, гарантия до ноября 2020 года, любые проверки, комплект полный.Карта очень мощная, тянет любые игры на ультра.Это НЕ майнинг, Гарантия ситилинка, комп есть у меня в объявлениях, обычная домашняя карта, чистая и рабочая. Торга нет совсем, есть варианты дешевле на авито, без пломб и с темным прошлым. ";videokarty;
116;Palit GeForce 1060 PA-GTX1060 dual 6Gb (SAMSUNG);1086269884;2018-10-21;15:05:00;//72.img.avito.st/640x480/4700609272.jpg,//57.img.avito.st/640x480/4040811557.jpg,//53.img.avito.st/640x480/4040811553.jpg,//54.img.avito.st/640x480/4040811554.jpg,//56.img.avito.st/640x480/4040811556.jpg,//37.img.avito.st/640x480/4700609237.jpg,//44.img.avito.st/640x480/4700609344.jpg,;Москва,м.Алексеевская;17 500;"
Видеокарта PALIT GeForce GTX 1060, PA-GTX1060 DUAL 6G, 6Гб, GDDR5, Ret.Покупал 04.12.17 в Ситилинк. Комплект: коробка, карта, пакет, диск, брошюрка, кассовый чек, гарантийка.Память Самсунг. Чип и память разгоняются +200Мгц без поднятия напряжения. Дальше не пробовал. Тест ""меховой бублик"" 20 раз прогоняется без сбоев.При покупке любые проверки. Майнить не умею, так что майнерские ""попугаи"" не спрашивайте. :)Гарантия 36 месяцев.Продаю т.к. хочу 1070ti. ";videokarty;
